title,task,cost,date,views,answers,status
Поправить рекламную компанию яндекс,Необходимо просмотреть существующую компанию РСЯ. Есть статистика по целям и кликам. Ценю данного проекта уменьшить стоимость заказа по Вашим рекомендациям с помощь…,Договорная,1970-01-01,33,17,Для Бизнес-аккаунтов
"Подготовка графических материалов для оформления онлайн-курса: обложки модулей, бейджи участникам","1. Для оформления дистанционного обучающего курса нам необходимы изображения для обложки модулей в кабинете геткурс. Я прилагаю скриншот, как выглядит галерея модул…",Договорная,1970-01-01,107,36,Безопасная Сделка
Программист Yii/PHP исправить админку на сайте,"Здравствуйте, 

Перестала работать админка самописного сайта на фрейворке Yii, и не отображаются некоторые кнопки в поле регистрации.
Нужно исправить.",2 000 р.,1970-01-01,13,8,Для Бизнес-аккаунтов
Убрать задний фон на фотографиях,"нужно быстро и оперативно убрать фоны на фотографиях , отредактировать фото по цвету",500 р.,1970-01-01,66,22,Для Бизнес-аккаунтов
Разработка дизайна мобильного приложения (12-15 экранов) - срочно!,"Разработка дизайна мобильного приложения (12-15 экранов) - срочно!
Имеется ТЗ - покажу исполнителю

Бюджет  3000 рублей Оплата строго по готовности продукта, БЕЗ…",3 000 р.,1970-01-01,54,19,Для Бизнес-аккаунтов
Разработка сайта,"Нужно разработать самый простой интернет магазин, с Белоруским  доменом, за минимальную плату, в кратчайшие сроки. все остальное обсудим лично",Договорная,1970-01-01,26,15,Для Бизнес-аккаунтов
ocStore 1.5.5.1.2 Копировать магазин на региональный поддомен,"Здравствуйте.
На домене ""китайское-печенье.рф"" имеется интернет-магазин на ocStore 1.5.5.1.2. На поддомене ""moskva.китайское-печенье.рф"" требуе…",Договорная,1970-01-01,25,6,Для Бизнес-аккаунтов
Создать сайт на WordPress (бюджет не ограничен),"Для мебельной фабрики необходимо создать сайт со структурой:

1. Главная страница
2. Каталог кухонь без корзины
3. Каталог столов и стульев без корзины
4. Ката…",150 000 р.,1970-01-01,133,85,Для Бизнес-аккаунтов
Внедрить систему оплаты ePay,"https://epay.kkb.kz/techdoc

Нужно подключить к сайту платежный шлюз ePay, ссылка на документацию",1 200 р.,1970-01-01,8,4,Для Бизнес-аккаунтов
Исправить ошибки в настройке динамического ремаркетинга гугл,"На Опенкарт 3 настроен динамический ремаркетинг гугл с помощью Аналитикса и Гугл Тег Менеджера.
Все вроде бы сделано, создан фид, проставлены коды на все страницы,…",Договорная,1970-01-01,14,5,Для Бизнес-аккаунтов
Разработать сайт по проведению онлайн семинаров,"Необходимо разработать фронтенд и бэкхенд для проведения онлайн семинаров. Проект в стадии MVP поэтому базовый набор страниц и функций будет минимальным: 
- 2 ленд…",Договорная,1970-01-01,56,23,
Рерайт материала (90% уникальности)+добавление информации по цифровой экономике,Необходимо провести качественный рерайт текста (14000-17000 знаков) и по договоренности расширить его.,500 р.,1970-01-01,22,6,Для Бизнес-аккаунтов
Выезд на обследование объекта г. Мончегорск,Выезд на объект для проведения предпроектного обследования,Договорная,1970-01-01,9,2,Для Бизнес-аккаунтов
Нужен копирайтер для написания продающих постов,"Ищу копирайтера для постов в инстаграм! инстаграм https://www.instagram.com/maneken_online/ посты дложны быть продающие, информативные и полезные",Договорная,1970-01-01,31,15,Для Бизнес-аккаунтов
Нужен копирайтер для написания продающих постов,"Ищу копирайтера для постов в инстаграм! инстаграм https://www.instagram.com/maneken_online/ посты дложны быть продающие, информативные и полезные",Договорная,1970-01-01,31,15,Для Бизнес-аккаунтов
Кто с эксель в ладах? Нужно легкое задание выполнить,"Кто с эксель в ладах? Нужно легкое задание выполнить.
Пишите я уточную что конкретно.",3 000 р.,1970-01-01,20,9,Для Бизнес-аккаунтов
RFID система для учета инструмента,"Разработка системы считывания инструмента, уложенного в ложементы металлических модулей. Отображение информации о наличии/отсутствии инструмента на экране планшета.",Договорная,1970-01-01,13,4,Для Бизнес-аккаунтов
Разработать мобильное приложение под Android,ДОбрый день! В проект требуется middle/ middle+/ senior android разработчик на фулл-тайм занятость (ориентировочная загрузка 40-45 часов в неделю) В ПЕРСПЕКТИВЕ ПОТ…,Договорная,1970-01-01,31,6,Для Бизнес-аккаунтов
Нужен программист для доработки и техподдержки сайта,Сайт интернет-магазина мебели. Самописная CMS. В настоящее время нужно выполнить ряд работ по прилагаемому ТЗ. В дальнейшем будет требоваться постоянная техподдержк…,Договорная,1970-01-01,33,11,Для Бизнес-аккаунтов
Разработка дизайна основной страницы сайта экономической игры,"Требуется разработка дизайна основной страницы сайта экономической игры с вводом-выводом средств. Тематика - криптовалюты, майнинг. Дизайн чистый, простой, но не ми…",Договорная,1970-01-01,125,54,Безопасная Сделка
«Нетология» ищет разработчиков 1С уровня middle и выше для преподавания на курсах.,"#вакансия #удаленно #частичная #1С #программист1С #нетология #вакансия1С #работа1С
«Нетология» ищет разработчиков 1С уровня middle и выше для преподавания на курса…",Договорная,1970-01-01,13,1,Для Бизнес-аккаунтов
Создание подписных страниц для регистрации на вебинар,Создание 6 подписных страниц для регистрации на вебинар для разных портретов ЦА. Вебинар посвящен образованию в Китае.,Договорная,1970-01-01,45,26,Для Бизнес-аккаунтов
Подготовить контент для пабликов Instagram,"Доброго времени суток, нужно подготовить контент(тематический материал) для пабликов Instagram: 
www.instagram.com/lifexaker.tv/
www.instagram.com/lifexack_days/…",Договорная,1970-01-01,22,9,Для Бизнес-аккаунтов
Кликер пуш уведомлений,"Добрый день. Нужно сделать скрипт, без графического интерфейса. Краткий функционал: подписка на пуш уведомления в браузере, сохранение слепков браузера, открытие сл…",15 000 р.,1970-01-01,11,1,Для Бизнес-аккаунтов
Написание тематических статей,"Необходим специалист по написанию тематических статей.
Тексты на тему ремонта, актуальных трендов в интерьере, в которых ненавязчиво рассказывается о продукции наш…",Договорная,1970-01-01,37,28,Для Бизнес-аккаунтов
"SMM, HR брендинг","Развитие и ведение HR групп в VK и Facebook. Наполнение контентом (фото, видео) о жизни Компании, ее сотрудниках, транслирование корпоративной культуры и т.д.",Договорная,1970-01-01,30,21,Для Бизнес-аккаунтов
Создание сайта для продвижения (продажи) услуг компании,"Необходимо создать сайт для продвижения услуг компании.
Компания работает в двух направлениях: 1) организация форумов, конференций, выставок; 2) производство выста…",30 800 р.,1970-01-01,108,88,Для Бизнес-аккаунтов
Обновление прайс-листа или создание скрипта для обновления прайса.,Нужно обновление прайс-листа на сайте. Или обновить и научить обновлять. Либо сделать скрипты другие для обновления. Создатель прайс-листа не захотел обучать обновл…,Договорная,1970-01-01,45,9,Для Бизнес-аккаунтов
Доработка функционала Битрикс 24,"- изменение и написание новых алгоритмов бизнес-процессов;
- интеграция с 1С;
- настройка автоматизации;",Договорная,1970-01-01,11,6,Для Бизнес-аккаунтов
"Требуются копирайтеры(букмекерская тематика,ЮРИДИЧЕСКАЯ)","Для работы с текстами (рерайтинг, копирайтинг, сео копирайтинг, а так же lsi) нужны люди умеющие писать тексты.На 2 тематики - букмекерская +ЮРИДИЧЕСКАЯОт каждого к…",Договорная,1970-01-01,96,2,
Поменять местами шаблоны,"Приобретено 2 шаблона на битрикс маркетплейс, установлены на 2 разных домена, на бегете, необходимо поменять их местами.",Договорная,1970-01-01,22,5,Для Бизнес-аккаунтов
LinkTech,Наполнение готового интернет магазина товарами с фото и описанием,Договорная,1970-01-01,26,14,Для Бизнес-аккаунтов
Разработка раздела сайта,"Основные задачи
-Разработка раздела сайта
-разработка инструмента для расчета данных по формулам
-генерация CAD чертежа
-генерация pdf–файла отчета

Необходим…",Договорная,1970-01-01,33,5,Заключение договора
Сайт знакомств,Нужно отрисовать дизайн и сделать адаптивную верстку для сайта знакомств.,15 000 р.,1970-01-01,65,19,Для Бизнес-аккаунтов
"Привязать яндекс кассу к форме-заявке,  wordpress (сама касса имеется)","Есть сайт на wordpress - http://vagankovo.net

1) в разделе ""Заказать требы"" http://vagankovo.net/zakazat-treby сейчас настроены несколько обратных форм…",3 500 р.,1970-01-01,51,13,
"Разработка рабочей документации, правка исполнительных схем. Выполнение проекта по светотехническим расчетам.","Предварительный поиск специалиста, на разработку рабочей документации, на основании светотехнических расчетов диалюкс. Возможность удаленного проектирования объекто…",Договорная,1970-01-01,10,2,Для Бизнес-аккаунтов
Нужно перенести сайт на WordPress.,Нужно перенести сайт на WordPress. Подключить сайт на мультияз. Подключить Yoast SEO.,Договорная,1970-01-01,43,31,Для Бизнес-аккаунтов
Написание серий очерков о жизни придуманного персонажа,"Необходимо написать серию очерков о жизни придуманного персонажа с единой сюжетной линией. Очерки короткие, цель очерка - стать основой для постов в социальных сетя…",Договорная,1970-01-01,28,12,Для Бизнес-аккаунтов
Разработать дизайн брендинга грузовой машины,"Необходимо: предложить дизайн брендирования грузовика.  размеры машины, фразы, которые необходимо отобразить предоставлю исполнителю.  рисунок должен занимать не бо…",Договорная,1970-01-01,93,52,Для Бизнес-аккаунтов
Синхронный русско-башкирский перевод (Уфа),"Нужен переводчик на синхронный перевод. Языковая пара: русский - башкирский, башкирский - русский. Оплата: 2-3 тыс. руб./час. Город: Уфа. Рассматриваются соискатели…",Договорная,1970-01-01,11,0,Безопасная Сделка
Landing Page (производство роторных рекуператоров),"Нужно создать одностраничный сайт о роторных рекуператорах нашего производства. Он должен содержать краткую информацию о принципе работы, фото, анимацию (скоро буде…",Договорная,1970-01-01,137,101,Для Бизнес-аккаунтов
Нужно разработать дизайн и структуру сайта для продажи услуг 1С.,"Добрый день. Нужно разработать дизайн и структуру сайта по услугам 1С. Придерживаясь основной стилистики компании 1С, то есть примерно как тут https://its.1c.ru/ Пр…",5 000 р.,1970-01-01,103,50,Безопасная Сделка
"В тексте, после каждого указанного символа, вставьте указанный подраздел.","Дается этот код: 

import java.io.BufferedInputStream;
import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStream;
import java.io.I…",Договорная,1970-01-01,46,4,
Подключить лендинг к WireCRM,"Нужно подключить передачу формы заявок к системе WireCRM https://wirecrm.com/
Требуется при отправке формы с лендинга на PHP отправить запрос к API WireCRM для соз…",3 000 р.,1970-01-01,15,8,Для Бизнес-аккаунтов
Баннер для сайта,"Для сайта продающего нержавеющий крепеж, требуется сделать баннер на сайт (www.superbolt.ru)
На баннере должен быть  размещен нержавеющий крепеж, можем предоставит…",Договорная,1970-01-01,50,24,Для Бизнес-аккаунтов
Таргет инстаграм,"Добрый день 
Задача настроить рекламу в инстаграм через фейсбук 
Сфера салон красоты 
Оплата ежемесячная , много времени не займем.
Ждем Ваших отзывов, нам треб…",Договорная,1970-01-01,37,22,Для Бизнес-аккаунтов
Исправить вывод мобильной версии на Wordpress,"Господа, гугл выдает ошибку вывода мобильной версии сайта (см. картинку), нужно исправить вывод контента, подправить элементы для мобильно версии. Сайт ""yugvp.…",Договорная,1970-01-01,44,20,Для Бизнес-аккаунтов
Лого для сайта,Нужен логотип на сайт с птицей Киви. За основу можно взять приложенные логотипы и развить тему.,Договорная,1970-01-01,211,110,
Верстка толстого каталога компании !!!,"Верстка каталога по авто теме (аудио, видео и тп) !!! 
Есть Ворд ""ТЗ"" для оценки! 
Примерно от 50 до 100 полос",Договорная,1970-01-01,40,7,Для Бизнес-аккаунтов
требуются Операторы владеющие английским языком уверенно,"В колл центр для обзвона базы данных требуются Операторы владеющие английским языком уверенно. Обзвон осуществляется через Crm Битрикс24, а также отправление писем …",Договорная,1970-01-01,15,3,Для Бизнес-аккаунтов
Нужен программист вордпресс для доработки админки,"Есть сайт его не доделали до конца. Стоит задача либо доделать по тз немного работы. Либо сделать с нуля учитывая правки. 

Есть дизайн и верстка. Есть исходники …",Договорная,1970-01-01,38,20,Для Бизнес-аккаунтов
Нужна программа для парсинга,"Нужна программа для парсинга разных площадок (Яндекс Услуги, Яндекс карты, Авито и другие). Чтобы нажал кнопку, ввел ссылку или категорию и запустил процесс. Надо…",3 000 р.,1970-01-01,18,4,Для Бизнес-аккаунтов
Визуализация дома,Нужно сделать визуализацию каркасного дома и планировку ( без визуализации интерьера). Полностью готовый проект  сделан  sketch up,Договорная,1970-01-01,55,27,Для Бизнес-аккаунтов
Требуется Специалист по сбору базы данных с иностранных сайтов,Требуется Специалист по сбору базы данных с иностранных сайтов с базовым знанием английского языка. Сбор информации выполняется через интернет по ключевым словам ко…,Договорная,1970-01-01,11,3,Для Бизнес-аккаунтов
Доработка и техподдержка сайта на самописной CMS,Нужен веб-программист для выполнения ряда работ и дальнейшей техподдержки сайта интернет-магазина на самописной CMS. Cвязь с разработчиком на данный момент потеряна…,Договорная,1970-01-01,34,12,Для Бизнес-аккаунтов
требуются Переводчики английского языка с продвинутым уровнем,"В новую компанию, расположенную на территории Дубай требуются Переводчики английского языка с продвинутым уровнем. Со знанием компьютера на пользовательском уровне …",Договорная,1970-01-01,18,2,Для Бизнес-аккаунтов
Макет обклейки автомобиля Lada Largus,"Техническое задание на обклейку автомобиля Lada Largus
1.	Логотип компании должен присутствовать на каждой стороне автомобиля
2.	№ телефона, адрес сайта, пиксель …",3 000 р.,1970-01-01,55,34,Для Бизнес-аккаунтов
Составление базы промышленных предприятий г. Тулы и Тульской обл.,"Требуется заполнить базу  в Excel (в приложении).
Нужна информация по производственным предприятиям (КРОМЕ машиностроительных и тех, кто производит свои запчасти и…",Договорная,1970-01-01,43,5,
"Стор на 300 товаров на Shopify. Интеграции с Amazon, Ebay, Facebook.","Создать интернет-магазин на Shopify (дизайн на основе шаблона).
10 категорий товаров, в категории от 10 до 300 товаров, в сумме — до 500 товаров.
Cоздание и запол…",20 000 р.,1970-01-01,6,4,Заключение договора
На постоянную работу требуются Программисты для работы в команде,"На постоянную работу на зарплату или сдельную оплату требуются Программисты для работы в команде по доработки сайта с опытом работы в Фреймворк Yii2, а также devops…",Договорная,1970-01-01,13,1,Для Бизнес-аккаунтов
Настроить Windows Server,"Есть сервер на винде / на нем установлен Winginx , проброшены порты - все работает ок  - простые сайты запускаются без проблем 

Нужно на этом сервере запустить с…",1 000 р.,1970-01-01,29,4,
Требуется дизайнер для разработки интерьера хостела,Требуется разработка дизайн-проекта планировки чердака для размещения там хостела.(бюджет 15 000р. за работу),12 000 р.,1970-01-01,46,31,Для Бизнес-аккаунтов
Ищу SMM дизайнера,"Ищу SMM дизайнера, который умеет оперативно в срок предоставлять продающие, яркие, вкусные, стильные картинки для SMM с опытом!

В проект входит разработка 12 кар…",Договорная,1970-01-01,23,12,Для Бизнес-аккаунтов
Нужен картографист,Нужен профессиональный картограф для составление карты Москвы и других городов России в фирменном стиле компании.,Договорная,1970-01-01,30,7,Для Бизнес-аккаунтов
Изменить 7 страниц на статичном сайте,"Есть сайт сделан на простом Html + РНР 
Сайт статичный без движка 
Задача изменить 7 страниц 
Тексты и картинки предоставим
Ни чего сложного обновить информацию…",Договорная,1970-01-01,65,20,Для Бизнес-аккаунтов
3 статьи примерно на 7000 знаков по теме фридайвинга / подводной охоты,"Необходимо написать 3 статьи примерно на 7000 знаков по теме фридайвинга, подводной охоты. Полезный / экспертный / развлекательный контент для блога.
Например: о н…",Договорная,1970-01-01,32,17,Для Бизнес-аккаунтов
Аккаунт косметолога в инстаграмме,"Оформить аккаунт в инстаграм. Увидев страничку- девушки должны захотеть обратиться именно ко мне). Отредактировать шапку, добавить иконки, упорядочить и стилизовать…",Договорная,1970-01-01,66,34,Для Бизнес-аккаунтов
Полное продвижение канала YouTube.,"Формирование стратегии продвижения
Разработка контент-плана для YouTube-канала
Проверка технической настройки YouTube-канала перед продвижением 
Оформление и SEO…",15 000 р.,1970-01-01,16,10,Для Бизнес-аккаунтов
редизайн сайта самбо-70.рф,"Центр спорта и образования ""Самбо-70"" Москомспорта. осуществляет спортивную и образовательную подготовку на высшем уровне уже 50 лет. Мы нуждаемся в индив…",30 000 р.,1970-01-01,126,64,Для Бизнес-аккаунтов
"Внести изменения в раздел КМ и АР посадить здание на фундамент, доработать раздел ОДИ и ПЗУ","Есть проект здания 24 на 10 метров, металлокаркас, колонны на бетонных тумбах, при строительстве на тумбы залили фундамент, здание поднялось, это нужно отобразить.…",12 000 р.,1970-01-01,13,2,Для Бизнес-аккаунтов
Найти 2 фото товара и подготовить для выкладки на сайте (сделать прозрачный фон),"Нужно найти в интернете хорошие фото наггетсов и луковых колец и сделать прозрачный фон.
Пример в прикрепленном файле. Соотношение сторон нужно сделать 450х450",Договорная,1970-01-01,54,33,Для Бизнес-аккаунтов
Email рассылка по нашей базе адресов,"Добрый день.
Кто-нибудь может сделать рассылку писем?
Задача: разослать наше предложение о сотрудничестве на 900 email. В письме 2 фото и текст, в подписи номер т…",Договорная,1970-01-01,81,18,
Доработка имиджа,"Необходимо собрать и доработать фото-коллаж для размещения на сайте компании.
В приложенном файле пример работы, уровень которой хотелось бы достичь.",Договорная,1970-01-01,29,13,Для Бизнес-аккаунтов
"Создание ""Схемы автоматизации"" на основании базы данных в Excel","Добрый день. Нужна программа написанная в delphy, которая будет строить чертёж в компасе, на основе данных с экселя. Чертёж в компасе типовой (его предоставлю), изм…",Договорная,1970-01-01,13,4,Для Бизнес-аккаунтов
Фиксация фона для мобильной версии в Tilda,Требуется сверстать zero block для мобильной версии Tilda с фиксацией фона.,500 р.,1970-01-01,12,5,Для Бизнес-аккаунтов
Аудит рекламной кампании Google Shopping (мебель),"1. Оценить статистику рекламной кампании за 3 месяца. Объем 1,81 тыс кликов, 219 тысяч показов. Максимально общие данные на скрине https://prnt.sc/r1nefc

2. Поня…",Договорная,1970-01-01,20,8,Для Бизнес-аккаунтов
Дизайнер - верстальщик,"Приглашаем к сотрудничеству дизайнера с опытом верстки многостраничных журналов. Важно! 

ВНИМАНИЕ! Работа сдельно договорная, по договору. Без предоплат и других…",25 000 р.,1970-01-01,85,29,Для Бизнес-аккаунтов
Раскрутка группы в Одноклассниках,Есть деловое предложение.Необходимо создать праздничную открытку которая при нажатие на кнопку принятия могла бы добавлять человека в группу и рассылаться его кругу…,Договорная,1970-01-01,35,10,Для Бизнес-аккаунтов
Тексты в сфере отдыха досуга и развлечений,"Приглашаем профессиональных редакторов, журналистов и всё что с этим связано, для написания материалов в глянцевый журнал Москвы. Тексты также нужны для сайта, инте…",Договорная,1970-01-01,41,12,Для Бизнес-аккаунтов
Требуется контекстолог для консалтинговой группы,"Сфера деятельности - консалтинг, юридические и аудиторские услуги. Санкт-Петербург.
Задачи:
- запуск рекламы в яндекс и гугл по юридическим и аудиторским услугам;…",Договорная,1970-01-01,35,20,Для Бизнес-аккаунтов
True Technologies,"Работа проектная в офисе в Минске на оборудовании заказчика. Менее приоритетно, но возможно на удаленке. Ориентрировочный срок 2 месяца.


Квалификация (по убыва…",Договорная,1970-01-01,11,0,Для Бизнес-аккаунтов
Подбор экспертов на образовательный проект в г. Москва,"В образовательную среду НеПарта необходимы 24 эксперта (по 2 человека на 1 тему) в г. Москва с психолого-педагогическим образованием, можно игропрактиков, с опытом …",2 400 р.,1970-01-01,6,0,Для Бизнес-аккаунтов
pr-менеджер,"- Совместная разработка и реализации маркетинговой стратегии.
- Медиапланирование и бюджетирование.
-Разработка и проведение Event мероприятий
- Взаимодействие с…",Договорная,1970-01-01,17,5,Для Бизнес-аккаунтов
Автоматизация определенных действий на сайте,Разработка скрипта на javascript под приватный браузер для автоматизации действий на сайте букмекерской конторы. В краце логиниться на сайт и делать 3 ставки опреде…,Договорная,1970-01-01,18,6,Для Бизнес-аккаунтов
Видео ролик для строительной компании,"Необходимо создать ролик + озвучка.
Сценарий во вложении
Базовый ролик - https://yadi.sk/d/XLO9UVQWW1ielA
Ссыкла на видео материалы - https://yadi.sk/d/kYZKwfWB1…",20 000 р.,1970-01-01,60,23,Для Бизнес-аккаунтов
Нужен разработчик ПО для контроллера Arduino,"Необходимо подобрать и интегрировать готовые решения от Arduino в единый блок, написать код, который будет обслуживать вендинговый автомат. Также в дальнейшем необх…",Договорная,1970-01-01,8,2,Для Бизнес-аккаунтов
Контент-менеджер/копирайтер (SERM/ORM),"Требуется на удаленную работу специалист в области контент-менеджмента/копирайтинга.
Специализация деятельности - SERM/ORM (репутационный маркетинг).
Основные обя…",18 000 р.,1970-01-01,26,2,Для Бизнес-аккаунтов
Фото картин художников для сайта!,Нужно съездить в мастерскую к художнику и сделать 10-15 проф снимков картин для сайта Арт галереи.,Договорная,1970-01-01,29,10,Для Бизнес-аккаунтов
Vue js вывести список выбранных услуг через api,"Добрый день! Необходимо реализовать оформление заказа пользователем.
Подгрузка услуг c ценами будет через api в виде чекбоксов
Вывести выбранные, пользователем че…",1 000 р.,1970-01-01,24,7,Для Бизнес-аккаунтов
Доработать программу. Добавить кодирование видео (сжатие),"Добрый день коллеги.
Есть простое приложение (прикладываю), которое пишет со штатной вебкамеры видео в файл, но пишет в оригинале, файлы просто громадные. Нужно до…",3 000 р.,1970-01-01,47,4,Безопасная Сделка
Продвижение сайта на первую страницу запросов,"Интернет магазин Стройматериалов, требуется настройка для вывод на первую страницу запросов по тематике..
настроить, рассказать , показать как пользоваться.",Договорная,1970-01-01,44,35,Для Бизнес-аккаунтов
Разместить описания на 50 сайтах,"Нужно разместить описание проекта (сайта) с ссылкой на 50 российских сайтах (форумы, каталоги и т.д.) с возможностью редактирования в будущем

- регистрация на мо…",1 000 р.,1970-01-01,142,8,Безопасная Сделка
Провести аудит сайта,Провести полный аудит сайта,Договорная,1970-01-01,39,33,Для Бизнес-аккаунтов
Доработка сайта на Битрикс,"При развитии агрегатора хостелов необходимо поэтапно выполнить следующие задачи:
1. импорт отзывов и рейтинга индивидуально по каждому хостелу (много отзывов на од…",Договорная,1970-01-01,40,11,Для Бизнес-аккаунтов
Иллюстрации в Журнал на постоянной основве,"необходимо на постоянной основе оформлять иллюстрации к статьям. Сейчас есть заказ на 3 иллюстрации. Поток 4 статьи /мес, увеличиваем.",3 000 р.,1970-01-01,67,39,Для Бизнес-аккаунтов
Доработка сайта,"Нужно доработать сайт ,он сверстан находится на хостинге но сыроват Сайт по грузоперевозкам Из основного переделать калькулятор чтобы выдавал адреса Москва и МО пои…",Договорная,1970-01-01,98,22,Безопасная Сделка
Необходимо продвижение аккаунта по хим чистке автомобилей,Необходимо комплексное продвижение аккаунта по химчистке автомобилей,Договорная,1970-01-01,33,24,Для Бизнес-аккаунтов
Авито 10 объявлений,"Привет мне нужно написать 10 объявлений на авито,есть готовое объявление по которому нужно будет сделать 10 таких же,но чтоб не было бана,когда буду выкладывать,от …",Договорная,1970-01-01,19,6,Для Бизнес-аккаунтов
Сделать рендер stl моделей ( подробнее в лс),Сделать рендер stl моделей в png,Договорная,1970-01-01,46,18,Для Бизнес-аккаунтов
Требуется Копирайтер (тематика: юриспруденция),"Юридической компании требуется Копирайтер для написания статей и текстов юридической направленности
-----
Условия:
- удалённая вакансия
- долгосрочное сотруднич…",Договорная,1970-01-01,117,14,
Баг сайта на html,Нужна помощь специалиста поправить баг на сайте http://teplislm.beget.tech/test1/ (cайт без CMS). Баг заключается в скроллинге по сайту на iPhone https://cloud.mail…,Договорная,1970-01-01,87,10,
Ищу младшего партнера | junior таргетолога,"Привет!

Ищу человека, которого буду обучать интернет-маркетингу и платить за практику деньги.

Я научу создавать работающие объявления - фото и видео, искать н…",3 000 р.,1970-01-01,89,5,Безопасная Сделка
Написание статей для интернет- магазина http://giper.online,"к запуску готовится интернет-магазин для периодической работы требуются копирайтеры для написание статей в блок ""Новости"". Тематика статей: о продукции са…",Договорная,1970-01-01,43,29,Для Бизнес-аккаунтов
Выбор региональности сайта при заказе и корректировка расчета доставки почтой,"Необходимо решить две задачи:
1. Сейчас регион клиента при оформлении заказа определяется автоматически с помощью Яндекс скрипта, но определяется не всегда точно. …",Договорная,1970-01-01,11,3,Для Бизнес-аккаунтов
PDF-Word 77 страниц до 18:00 сегодня (13.02.),"документы перевести в ворд до конца дня:
http://eriskip.com/uploads/files/ru/9/256/ot-na-dgs-eris-210-dgs-eris-230-s-izmeneniem-no2.pdf
http://eriskip.com/uploads…",3 000 р.,1970-01-01,31,11,Для Бизнес-аккаунтов
Написание текстов для информационного сайта интимного характера,"Ищу копирайтера (ов) для написания статей по ключевым фразам для сайта информационника интимного характера, если статьи удовлетворят заказчика возможно ежемесячное …",500 р.,1970-01-01,30,15,Для Бизнес-аккаунтов
"Специалист по контекстной рекламе (Я. Директ, G. Adwords), а также специалист по таргетированной рекламе (ВК, FB, Instagram)","Специалист по контекстной рекламе (Я. Директ, G. Adwords), а также специалист по таргетированной рекламе (ВК, FB, Instagram)

Зарплата каждого от 40 000  в месяц…",40 000 р.,1970-01-01,46,14,Для Бизнес-аккаунтов
Сайт с рецептами. Word Press. Mobile first.,"Подробное ТЗ в приложении.
Только безопасная сделка - все комиссии беру на себя.
Это тот случай, когда сроки важны, просьба указывайте сразу реальные.",50 000 р.,1970-01-01,120,54,Для Бизнес-аккаунтов
Требуются SMM-менеджер «Вконтакте» и Instagram с опытом,"О нас:
YouTube-проект на женскую тематику ищет SMM-менеджера для ведения страниц в Instagram и «Вконтакте»

Основные задачи:
- эффективная таргетированная рекла…",Договорная,1970-01-01,44,21,Для Бизнес-аккаунтов
